study_hours,exam_score
4.06,70.74
9.53,96.15
7.45,87.71
6.19,71.01
1.98,58.8
1.98,61.69
1.05,62.64
8.73,91.06
6.21,77.01
7.23,83.64
0.7,58.08
9.71,100.0
8.41,89.4
2.52,65.17
2.23,61.64
2.24,66.04
3.39,63.44
5.49,75.81
4.6,71.04
3.27,59.03
6.31,83.03
1.83,60.46
3.28,66.43
3.98,68.73
4.83,67.07
7.96,87.7
2.4,60.29
5.39,72.94
6.13,79.84
0.94,56.72
6.27,90.78
2.12,61.47
1.12,56.89
9.51,97.18
9.67,88.76
8.18,90.77
3.39,67.25
1.43,69.47
7.0,84.04
4.68,74.91
1.66,58.13
5.2,70.16
0.83,59.86
9.14,99.46
2.96,68.76
6.79,79.4
3.46,74.31
5.44,70.19
5.69,81.38
2.26,72.25
9.71,93.6
7.86,86.47
9.43,97.65
9.0,92.48
6.18,73.15
9.26,96.64
1.34,51.39
2.36,64.17
0.93,50.05
3.59,75.7
4.19,67.03
3.08,63.79
8.37,95.92
3.89,63.3
3.17,66.99
5.66,84.84
1.84,51.16
8.12,91.52
1.21,57.35
9.88,100.0
7.84,83.02
2.39,55.35
0.55,55.36
8.25,92.73
7.22,87.35
7.43,88.88
7.83,85.75
1.2,57.16
3.91,71.02
1.6,54.43
8.7,100.0
6.42,84.47
3.64,62.24
1.1,58.78
3.45,62.38
3.59,71.89
7.43,92.94
6.56,78.7
8.93,99.47
4.99,77.01
1.64,62.31
7.28,95.88
7.73,87.42
5.83,75.38
7.82,84.65
5.19,71.87
5.47,76.96
4.56,74.51
0.74,55.08
1.52,61.74
